지역명,도로명,구간명,구간,방향,5km,관리소,위도,경도
경상남도,지방도,경상남도2구간,15~20,북쪽,15,4,35.04682455,126.5399563
경상남도,지방도,경상남도3구간,10~15,북쪽,10,3,34.88803795,126.4977922
경상남도,지방도,경상남도3구간,15~20,북쪽,15,3,34.93274329,126.4998621
경상남도,지방도,경상남도3구간,30~35,북쪽,30,3,35.06495443,126.4796394
경상남도,지방도,경상남도3구간,30~35,북쪽,30,3,35.06495443,126.4796394
경상남도,지방도,경상남도3구간,35~40,북쪽,35,3,35.1099659,126.481287
경상남도,지방도,경상남도3구간,55~60,북쪽,55,3,35.27329611,126.5436837
경상남도,국도,경상남도4구간,165~170,북쪽,165,5,35.75369753,128.3595821
경상남도,지방도,경상남도5구간,0~5,북쪽,0,3,35.27140039,128.4744032
경상남도,지방도,경상남도6구간,130~135,북쪽,130,4,35.27176564,128.6581966
