강,동물명,멸종위기종,야생동물국제거래협약(CITES),천연기념물,발견된 주소,위도,경도,구조일자,발생원인
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 북구 동해안로 1466,35.6166944,129.447889,2024-01-13,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 울주군 범서읍 두산리 산209-1,35.6053889,129.280389,2024-01-15,차량과의 충돌
조강(Aves),집비둘기,해당없음,해당없음,해당없음,울산광역시 북구 명촌2길 7,35.56025,129.358111,2024-01-16,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 북구 송정동 산17,35.6100556,129.379806,2024-01-19,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 울주군 범서읍 두산리 산282-4,35.6181944,129.27875,2024-01-21,차량과의 충돌
조강(Aves),집비둘기,해당없음,해당없음,해당없음,울산광역시 북구 연암동 370,35.5865,129.367306,2024-01-27,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 울주군 삼동면 조일리 1224,35.5010556,129.100444,2024-02-03,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 동구 주전동 677,35.5532222,129.455194,2024-02-11,차량과의 충돌
포유강(Mammalia),너구리,해당없음,해당없음,해당없음,울산광역시 중구 반구동 401-51,35.5503889,129.348694,2024-02-20,차량과의 충돌
포유강(Mammalia),너구리,해당없음,해당없음,해당없음,울산광역시 동구 동진로 87,35.4893889,129.4325,2024-03-03,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 북구 정자동 562-2,35.6119939,129.441807,2024-03-07,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 동구 서부동 599,35.5378611,129.423167,2024-03-08,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 울주군 삼남읍 방기리 241-1,35.5017222,129.092972,2024-03-15,차량과의 충돌
조강(Aves),떼까마귀,해당없음,해당없음,해당없음,울산광역시 남구 눌재로 24,35.5505278,129.279444,2024-03-20,차량과의 충돌
조강(Aves),수리부엉이,2 급,부속서 2종,324-2,울산광역시 울주군 온양읍 고산리 879-1,35.4271389,129.2755,2024-03-27,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 북구 화봉동 1327,35.5833611,129.349167,2024-03-27,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 중구 함월12길 50,35.5752222,129.303583,2024-03-29,차량과의 충돌
포유강(Mammalia),노루,해당없음,해당없음,해당없음,울산광역시 동구 방어동 1068-1,35.481861,129.411611,2024-04-02,차량과의 충돌
포유강(Mammalia),고라니,해당없음,해당없음,해당없음,울산광역시 울주군 온산읍 방도리 525-6,35.441861,129.333778,2024-04-04,차량과의 충돌
